stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
0,0,0,3180602.69,1,0.999812,13380276.64,,,0.999812,60651.5,1.000026,8493.03,1,-3.029704,0,0_0_0
1,0,0,166603.91,-1,0.999896,1642214.25,,,0.999896,3233.04,1.00066,20605.09,1,-5.519986,0,0_0_1
2,0,0,302879.87,-1,0.999561,1819368.03,,,0.999403,37956,1.000298,18995,1,-8.38995,0,0_0_2
3,0,0,11917682.27,-1,1.000171,18389745.62,,,0.999999,2324.9,1.000214,479032.4,1,-4.0102005,0,0_0_3
4,0,0,447549.96,-1,0.999532,17860614.95,,,0.999394,16485.54,1.000016,434.1,1,-7.3498487,0,0_0_4
5,0,0,0,0,1.000635,13552875.92,,,0.999779,1962.72,1.000635,5647.65,1,6.7794323,0,0_0_5
6,0,0,969969.4,1,1.000115,3647503.98,,,0.999506,6663.16,1.000283,3810.48,1,-2.4998188,0,0_0_6
7,0,0,9412959.1,1,0.999818,21261245.87,,,0.999741,5139.2,1.00013,2570.6,1,-1.9598007,0,0_0_7
8,0,0,2394875.85,1,0.999916,9473209.08,,,0.999022,52011.6,1.000041,2169.36,1,-5.970001,0,0_0_8
9,0,0,3039700.65,-1,1.000969,6248958.45,,,0.999354,6191,1.000646,6199,1,7.970333,0,0_0_9
10,0,0,10482752.19,-1,1.001374,8839457.1,,,0.999885,18802,1.001321,217098.37,1,5.350113,0,0_0_10
11,0,0,1506120.2,-1,0.999968,2001112.44,,,0.99984,1174.45,1.000351,2585.11,1,2.5594234,0,0_0_11
12,0,0,11739945.44,1,0.999794,13597118.7,,,0.999794,33221,1.000296,47824,1,8.399487,0,0_0_12
13,0,0,5749286.01,1,0.998995,7039173.61,,,0.999074,12327.73,1.000096,1272.2,1,-10.750294,0,0_0_13
14,0,0,8899495.49,1,1.000495,39020484.94,,,0.999976,4321.24,1.001013,185388,1,2.3198128,0,0_0_14
15,0,0,4469771,1,0.999403,1765835.46,,,0.999334,223339.68,1.000023,7551.44,1,1.72019,0,0_0_15
16,0,0,472499.39,-1,0.999258,3438806.6,,,0.998948,9879.12,1.000058,549.45,1,-8.170009,0,0_0_16
17,0,0,12411362.37,-1,1.000966,27288881.25,,,0.999028,12438,1.000648,8305.44,1,-3.5899878,0,0_0_17
18,0,0,516904.04,-1,1.000029,1263451.92,,,0.999847,4271.28,1.000212,5916.24,1,-11.439919,0,0_0_18
19,0,0,0,0,0.999387,2815450.75,,,0.999218,17775,1.001298,29567.92,1,4.299879,0,0_0_19
20,0,0,3301736.03,1,1.000037,2316706.33,,,0.999473,14141.4,1.001254,33730,1,-4.1800737,0,0_0_20
21,0,0,1015153.67,-1,1.000034,1339488.1,,,0.999645,23956.33,1.000034,2311.8,1,-11.540055,0,0_0_21
22,0,0,5053387.79,1,0.999537,6722747.7,,,0.999767,9467.74,1.000458,18644.34,1,8.95977,0,0_0_22
23,0,0,732870.72,-1,0.999979,23625226.24,,,0.999979,1868.1,1.000247,22423.2,1,2.4402142,0,0_0_23
24,0,0,1757293.62,1,0.999866,2669401.39,,,0.99995,5932.5,1.000119,14240.4,1,4.489422,0,0_0_24
25,0,0,655527.4,1,0.999932,8183205.06,,,0.999853,8227.7,1.000011,633,1,-2.5600195,0,0_0_25
26,0,0,191988.96,-1,0.999583,4406159.91,,,0.999583,356181.55,1.000295,252081.74,1,-0.34987926,0,0_0_26
27,0,0,1582623.65,-1,1.00007,8129857.98,,,0.999395,16736.19,1.000278,7701.6,1,-0.06020069,0,0_0_27
28,0,0,2840407.94,-1,1.000358,2014815.32,,,0.999838,12770.38,1.000488,38490,1,-1.6897917,0,0_0_28
29,0,0,19144428.86,1,1.000301,8139187.12,,,0.999951,2399.76,1.002501,122098.41,1,4.6396255,0,0_0_29
30,0,0,1064576.77,1,0.999934,2659284.99,,,0.999934,14181.6,1.000272,58400.68,1,4.4095516,0,0_0_30
31,0,0,744025.17,-1,1.000327,936927.24,,,0.999436,56313.18,1.000327,32645.61,1,-1.3899803,0,0_0_31
